fecha_id,fecha,anio,mes_num,mes_nombre,anio_fiscal,trimestre_fiscal,etiqueta
201410,2014-10-01,2014,10,Octubre,2015,T1,Oct-2014
201411,2014-11-01,2014,11,Noviembre,2015,T1,Nov-2014
201412,2014-12-01,2014,12,Diciembre,2015,T1,Dic-2014
201501,2015-01-01,2015,1,Enero,2015,T2,Ene-2015
201502,2015-02-01,2015,2,Febrero,2015,T2,Feb-2015
201503,2015-03-01,2015,3,Marzo,2015,T2,Mar-2015
201504,2015-04-01,2015,4,Abril,2015,T3,Abr-2015
201505,2015-05-01,2015,5,Mayo,2015,T3,May-2015
201506,2015-06-01,2015,6,Junio,2015,T3,Jun-2015
201507,2015-07-01,2015,7,Julio,2015,T4,Jul-2015
201508,2015-08-01,2015,8,Agosto,2015,T4,Ago-2015
201509,2015-09-01,2015,9,Septiembre,2015,T4,Sep-2015
201510,2015-10-01,2015,10,Octubre,2016,T1,Oct-2015
201511,2015-11-01,2015,11,Noviembre,2016,T1,Nov-2015
201512,2015-12-01,2015,12,Diciembre,2016,T1,Dic-2015
201601,2016-01-01,2016,1,Enero,2016,T2,Ene-2016
201602,2016-02-01,2016,2,Febrero,2016,T2,Feb-2016
201603,2016-03-01,2016,3,Marzo,2016,T2,Mar-2016
201604,2016-04-01,2016,4,Abril,2016,T3,Abr-2016
201605,2016-05-01,2016,5,Mayo,2016,T3,May-2016
201606,2016-06-01,2016,6,Junio,2016,T3,Jun-2016
201607,2016-07-01,2016,7,Julio,2016,T4,Jul-2016
201608,2016-08-01,2016,8,Agosto,2016,T4,Ago-2016
201609,2016-09-01,2016,9,Septiembre,2016,T4,Sep-2016
201610,2016-10-01,2016,10,Octubre,2017,T1,Oct-2016
201611,2016-11-01,2016,11,Noviembre,2017,T1,Nov-2016
201612,2016-12-01,2016,12,Diciembre,2017,T1,Dic-2016
201701,2017-01-01,2017,1,Enero,2017,T2,Ene-2017
201702,2017-02-01,2017,2,Febrero,2017,T2,Feb-2017
201703,2017-03-01,2017,3,Marzo,2017,T2,Mar-2017
201704,2017-04-01,2017,4,Abril,2017,T3,Abr-2017
201705,2017-05-01,2017,5,Mayo,2017,T3,May-2017
201706,2017-06-01,2017,6,Junio,2017,T3,Jun-2017
201707,2017-07-01,2017,7,Julio,2017,T4,Jul-2017
201708,2017-08-01,2017,8,Agosto,2017,T4,Ago-2017
201709,2017-09-01,2017,9,Septiembre,2017,T4,Sep-2017
201710,2017-10-01,2017,10,Octubre,2018,T1,Oct-2017
201711,2017-11-01,2017,11,Noviembre,2018,T1,Nov-2017
201712,2017-12-01,2017,12,Diciembre,2018,T1,Dic-2017
201801,2018-01-01,2018,1,Enero,2018,T2,Ene-2018
201802,2018-02-01,2018,2,Febrero,2018,T2,Feb-2018
201803,2018-03-01,2018,3,Marzo,2018,T2,Mar-2018
201804,2018-04-01,2018,4,Abril,2018,T3,Abr-2018
201805,2018-05-01,2018,5,Mayo,2018,T3,May-2018
201806,2018-06-01,2018,6,Junio,2018,T3,Jun-2018
201807,2018-07-01,2018,7,Julio,2018,T4,Jul-2018
201808,2018-08-01,2018,8,Agosto,2018,T4,Ago-2018
201809,2018-09-01,2018,9,Septiembre,2018,T4,Sep-2018
201810,2018-10-01,2018,10,Octubre,2019,T1,Oct-2018
201811,2018-11-01,2018,11,Noviembre,2019,T1,Nov-2018
201812,2018-12-01,2018,12,Diciembre,2019,T1,Dic-2018
201901,2019-01-01,2019,1,Enero,2019,T2,Ene-2019
201902,2019-02-01,2019,2,Febrero,2019,T2,Feb-2019
201903,2019-03-01,2019,3,Marzo,2019,T2,Mar-2019
201904,2019-04-01,2019,4,Abril,2019,T3,Abr-2019
201905,2019-05-01,2019,5,Mayo,2019,T3,May-2019
201906,2019-06-01,2019,6,Junio,2019,T3,Jun-2019
201907,2019-07-01,2019,7,Julio,2019,T4,Jul-2019
201908,2019-08-01,2019,8,Agosto,2019,T4,Ago-2019
201909,2019-09-01,2019,9,Septiembre,2019,T4,Sep-2019
201910,2019-10-01,2019,10,Octubre,2020,T1,Oct-2019
201911,2019-11-01,2019,11,Noviembre,2020,T1,Nov-2019
201912,2019-12-01,2019,12,Diciembre,2020,T1,Dic-2019
202001,2020-01-01,2020,1,Enero,2020,T2,Ene-2020
202002,2020-02-01,2020,2,Febrero,2020,T2,Feb-2020
202003,2020-03-01,2020,3,Marzo,2020,T2,Mar-2020
202004,2020-04-01,2020,4,Abril,2020,T3,Abr-2020
202005,2020-05-01,2020,5,Mayo,2020,T3,May-2020
202006,2020-06-01,2020,6,Junio,2020,T3,Jun-2020
202007,2020-07-01,2020,7,Julio,2020,T4,Jul-2020
202008,2020-08-01,2020,8,Agosto,2020,T4,Ago-2020
202009,2020-09-01,2020,9,Septiembre,2020,T4,Sep-2020
202010,2020-10-01,2020,10,Octubre,2021,T1,Oct-2020
202011,2020-11-01,2020,11,Noviembre,2021,T1,Nov-2020
202012,2020-12-01,2020,12,Diciembre,2021,T1,Dic-2020
202101,2021-01-01,2021,1,Enero,2021,T2,Ene-2021
202102,2021-02-01,2021,2,Febrero,2021,T2,Feb-2021
202103,2021-03-01,2021,3,Marzo,2021,T2,Mar-2021
202104,2021-04-01,2021,4,Abril,2021,T3,Abr-2021
202105,2021-05-01,2021,5,Mayo,2021,T3,May-2021
202106,2021-06-01,2021,6,Junio,2021,T3,Jun-2021
202107,2021-07-01,2021,7,Julio,2021,T4,Jul-2021
202108,2021-08-01,2021,8,Agosto,2021,T4,Ago-2021
202109,2021-09-01,2021,9,Septiembre,2021,T4,Sep-2021
202110,2021-10-01,2021,10,Octubre,2022,T1,Oct-2021
202111,2021-11-01,2021,11,Noviembre,2022,T1,Nov-2021
202112,2021-12-01,2021,12,Diciembre,2022,T1,Dic-2021
202201,2022-01-01,2022,1,Enero,2022,T2,Ene-2022
202202,2022-02-01,2022,2,Febrero,2022,T2,Feb-2022
202203,2022-03-01,2022,3,Marzo,2022,T2,Mar-2022
202204,2022-04-01,2022,4,Abril,2022,T3,Abr-2022
202205,2022-05-01,2022,5,Mayo,2022,T3,May-2022
202206,2022-06-01,2022,6,Junio,2022,T3,Jun-2022
202207,2022-07-01,2022,7,Julio,2022,T4,Jul-2022
202208,2022-08-01,2022,8,Agosto,2022,T4,Ago-2022
202209,2022-09-01,2022,9,Septiembre,2022,T4,Sep-2022
202210,2022-10-01,2022,10,Octubre,2023,T1,Oct-2022
202211,2022-11-01,2022,11,Noviembre,2023,T1,Nov-2022
202212,2022-12-01,2022,12,Diciembre,2023,T1,Dic-2022
202301,2023-01-01,2023,1,Enero,2023,T2,Ene-2023
202302,2023-02-01,2023,2,Febrero,2023,T2,Feb-2023
202303,2023-03-01,2023,3,Marzo,2023,T2,Mar-2023
202304,2023-04-01,2023,4,Abril,2023,T3,Abr-2023
202305,2023-05-01,2023,5,Mayo,2023,T3,May-2023
202306,2023-06-01,2023,6,Junio,2023,T3,Jun-2023
202307,2023-07-01,2023,7,Julio,2023,T4,Jul-2023
202308,2023-08-01,2023,8,Agosto,2023,T4,Ago-2023
202309,2023-09-01,2023,9,Septiembre,2023,T4,Sep-2023
202310,2023-10-01,2023,10,Octubre,2024,T1,Oct-2023
202311,2023-11-01,2023,11,Noviembre,2024,T1,Nov-2023
202312,2023-12-01,2023,12,Diciembre,2024,T1,Dic-2023
202401,2024-01-01,2024,1,Enero,2024,T2,Ene-2024
202402,2024-02-01,2024,2,Febrero,2024,T2,Feb-2024
202403,2024-03-01,2024,3,Marzo,2024,T2,Mar-2024
202404,2024-04-01,2024,4,Abril,2024,T3,Abr-2024
202405,2024-05-01,2024,5,Mayo,2024,T3,May-2024
202406,2024-06-01,2024,6,Junio,2024,T3,Jun-2024
202407,2024-07-01,2024,7,Julio,2024,T4,Jul-2024
202408,2024-08-01,2024,8,Agosto,2024,T4,Ago-2024
202409,2024-09-01,2024,9,Septiembre,2024,T4,Sep-2024
202410,2024-10-01,2024,10,Octubre,2025,T1,Oct-2024
202411,2024-11-01,2024,11,Noviembre,2025,T1,Nov-2024
202412,2024-12-01,2024,12,Diciembre,2025,T1,Dic-2024
202501,2025-01-01,2025,1,Enero,2025,T2,Ene-2025
202502,2025-02-01,2025,2,Febrero,2025,T2,Feb-2025
202503,2025-03-01,2025,3,Marzo,2025,T2,Mar-2025
202504,2025-04-01,2025,4,Abril,2025,T3,Abr-2025
202505,2025-05-01,2025,5,Mayo,2025,T3,May-2025
202506,2025-06-01,2025,6,Junio,2025,T3,Jun-2025
202507,2025-07-01,2025,7,Julio,2025,T4,Jul-2025
202508,2025-08-01,2025,8,Agosto,2025,T4,Ago-2025
202509,2025-09-01,2025,9,Septiembre,2025,T4,Sep-2025
202510,2025-10-01,2025,10,Octubre,2026,T1,Oct-2025
202511,2025-11-01,2025,11,Noviembre,2026,T1,Nov-2025
202512,2025-12-01,2025,12,Diciembre,2026,T1,Dic-2025
202601,2026-01-01,2026,1,Enero,2026,T2,Ene-2026
202602,2026-02-01,2026,2,Febrero,2026,T2,Feb-2026
202603,2026-03-01,2026,3,Marzo,2026,T2,Mar-2026
202604,2026-04-01,2026,4,Abril,2026,T3,Abr-2026
202605,2026-05-01,2026,5,Mayo,2026,T3,May-2026
202606,2026-06-01,2026,6,Junio,2026,T3,Jun-2026
202607,2026-07-01,2026,7,Julio,2026,T4,Jul-2026
202608,2026-08-01,2026,8,Agosto,2026,T4,Ago-2026
202609,2026-09-01,2026,9,Septiembre,2026,T4,Sep-2026
