fecha_id,esclusa_id,transitos,tonelaje,fuente
201410,1,1158,30753006,estimado
201411,1,1147,30460879,estimado
201412,1,1147,30460879,estimado
201501,1,1182,31390374,estimado
201502,1,1170,31071690,estimado
201503,1,1193,31682501,estimado
201504,1,1181,31363817,estimado
201505,1,1158,30753006,estimado
201506,1,1135,30142195,estimado
201507,1,1135,30142195,estimado
201508,1,1147,30460879,estimado
201509,1,1147,30460879,estimado
201510,1,1092,29000244,estimado
201511,1,1081,28708117,estimado
201512,1,1081,28708117,estimado
201601,1,1113,29557941,estimado
201602,1,1102,29265814,estimado
201603,1,1124,29850068,estimado
201604,1,1113,29557941,estimado
201605,1,1092,29000244,estimado
201606,1,1070,28415990,estimado
201607,1,1016,26981912,estimado
201608,1,1027,27274039,estimado
201609,1,1027,27274039,estimado
201610,1,934,24804238,estimado
201611,1,925,24565225,estimado
201612,1,925,24565225,estimado
201701,1,953,25308821,estimado
201702,1,943,25043251,estimado
201703,1,962,25547834,estimado
201704,1,952,25282264,estimado
201705,1,934,24804238,estimado
201706,1,915,24299655,estimado
201707,1,915,24299655,estimado
201708,1,925,24565225,estimado
201709,1,925,24565225,estimado
201710,1,920,24432440,estimado
201711,1,911,24193427,estimado
201712,1,911,24193427,estimado
201801,1,938,24910466,estimado
201802,1,930,24698010,estimado
201803,1,947,25149479,estimado
201804,1,938,24910466,estimado
201805,1,920,24432440,estimado
201806,1,902,23954414,estimado
201807,1,902,23954414,estimado
201808,1,910,24166870,estimado
201809,1,910,24166870,estimado
201810,1,908,24113756,estimado
201811,1,900,23901300,estimado
201812,1,900,23901300,estimado
201901,1,927,24618339,estimado
201902,1,918,24379326,estimado
201903,1,935,24830795,estimado
201904,1,927,24618339,estimado
201905,1,908,24113756,estimado
201906,1,890,23635730,estimado
201907,1,890,23635730,estimado
201908,1,899,23874743,estimado
201909,1,899,23874743,estimado
201910,1,871,23131147,estimado
201911,1,863,22918691,estimado
201912,1,863,22918691,estimado
202001,1,888,23582616,estimado
202002,1,880,23370160,estimado
202003,1,897,23821629,estimado
202004,1,888,23582616,estimado
202005,1,871,23131147,estimado
202006,1,853,22653121,estimado
202007,1,853,22653121,estimado
202008,1,862,22892134,estimado
202009,1,862,22892134,estimado
202010,1,853,22653121,estimado
202011,1,845,22440665,estimado
202012,1,845,22440665,estimado
202101,1,871,23131147,estimado
202102,1,862,22892134,estimado
202103,1,879,23343603,estimado
202104,1,871,23131147,estimado
