fecha,tipo_esclusa,transitos,peaje_base_usd,cad_variable_pct,cad_por_transito_usd,ingreso_por_transito_usd,ingreso_mensual_usd,prima_subasta_usd,ingreso_mensual_con_subasta_usd,fuente_transitos,fuente_precio
2014-10-01,Panamax,1158,90000,0.04047242153846154,13642.517938461539,103642.51793846153,120018035.77273846,0.0,120018035.77273846,estimado,estimado_ancla_publica
2014-11-01,Panamax,1147,90000,0.04047242153846154,13642.517938461539,103642.51793846153,118877968.07541537,0.0,118877968.07541537,estimado,estimado_ancla_publica
2014-12-01,Panamax,1147,90000,0.04047242153846154,13642.517938461539,103642.51793846153,118877968.07541537,0.0,118877968.07541537,estimado,estimado_ancla_publica
2015-01-01,Panamax,1182,90000,0.04047242153846154,13642.517938461539,103642.51793846153,122505456.20326154,0.0,122505456.20326154,estimado,estimado_ancla_publica
2015-02-01,Panamax,1170,90000,0.04047242153846154,13642.517938461539,103642.51793846153,121261745.98799999,0.0,121261745.98799999,estimado,estimado_ancla_publica
2015-03-01,Panamax,1193,90000,0.04047242153846154,13642.517938461539,103642.51793846153,123645523.90058461,0.0,123645523.90058461,estimado,estimado_ancla_publica
2015-04-01,Panamax,1181,90000,0.04069955661538458,13662.960095384613,103662.96009538461,122425955.87264922,0.0,122425955.87264922,estimado,estimado_ancla_publica
2015-05-01,Panamax,1158,90000,0.04069955661538458,13662.960095384613,103662.96009538461,120041707.79045537,0.0,120041707.79045537,estimado,estimado_ancla_publica
2015-06-01,Panamax,1135,90000,0.04069955661538458,13662.960095384613,103662.96009538461,117657459.70826153,0.0,117657459.70826153,estimado,estimado_ancla_publica
2015-07-01,Panamax,1135,90000,0.04069955661538458,13662.960095384613,103662.96009538461,117657459.70826153,0.0,117657459.70826153,estimado,estimado_ancla_publica
2015-08-01,Panamax,1147,90000,0.04069955661538458,13662.960095384613,103662.96009538461,118901415.22940615,0.0,118901415.22940615,estimado,estimado_ancla_publica
2015-09-01,Panamax,1147,90000,0.04069955661538458,13662.960095384613,103662.96009538461,118901415.22940615,0.0,118901415.22940615,estimado,estimado_ancla_publica
2015-10-01,Panamax,1092,90000,0.04069955661538458,13662.960095384613,103662.96009538461,113199952.42415999,0.0,113199952.42415999,estimado,estimado_ancla_publica
2015-11-01,Panamax,1081,90000,0.04069955661538458,13662.960095384613,103662.96009538461,112059659.86311077,0.0,112059659.86311077,estimado,estimado_ancla_publica
2015-12-01,Panamax,1081,90000,0.04069955661538458,13662.960095384613,103662.96009538461,112059659.86311077,0.0,112059659.86311077,estimado,estimado_ancla_publica
2016-01-01,Panamax,1113,90000,0.04069955661538458,13662.960095384613,103662.96009538461,115376874.58616307,0.0,115376874.58616307,estimado,estimado_ancla_publica
2016-02-01,Panamax,1102,90000,0.040926691692307705,13683.402252307693,103683.40225230769,114259109.28204307,0.0,114259109.28204307,estimado,estimado_ancla_publica
2016-03-01,Panamax,1124,90000,0.040926691692307705,13683.402252307693,103683.40225230769,116540144.13159384,0.0,116540144.13159384,estimado,estimado_ancla_publica
2016-04-01,Panamax,1113,90000,0.040926691692307705,13683.402252307693,103683.40225230769,115399626.70681846,0.0,115399626.70681846,estimado,estimado_ancla_publica
2016-05-01,Panamax,1092,90000,0.040926691692307705,13683.402252307693,103683.40225230769,113222275.25952,0.0,113222275.25952,estimado,estimado_ancla_publica
